;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
337ae76a5b270e1bdec9f490a653e791;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;uncultured_bacterium
560c3bc61e7052d753d002d8f8006e49;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
ddddf7763b2e4559f6c958a82b043d3a;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA
dee14ae1c9b3087cb8a9d05026c61951;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;uncultured_bacterium
f41273addf3f403f1ca1c46ed930582f;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Brochothrix;Brochothrix_thermosphacta
c3d4cde1fefab50869535171600db4ac;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured_bacterium
19cf64e1595e18862ccf9d259fea7ccc;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured_bacterium
f1471118e85bc11138a6141ab8796f42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;d__Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;Petrotoga;NA
40b6395f2e9a2332b1f2cf3232856eea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;uncultured_bacterium
c468d198f69d22e74c016856248ab98b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA
136382991bdaba1dc627ff01b642a1ac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured_rumen
