"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"36ac1afc2f3b2256880fe219c9a41dfe";"382";"273";"15";"18";"0";"46";"107";"41";"7";"34";"166";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"Wenzhouxiangella";NA
"bf0433f8fd71c0e3cfa4b35884b351ce";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Nitrosococcales";"Methylophagaceae";"Methylophaga";NA
"1ee65190d193e1bcb0bc181e44daf4b1";"131";"403";"3";"5";"19";"12";"67";"188";"102";"167";"1121";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Alteromonadales";"Marinobacteraceae";"Marinobacter";NA
"730f343db59f706ac7ad5758c2893d23";"0";"0";"0";"0";"0";"0";"5";"2";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Cellvibrionaceae";"Marinimicrobium";NA
"1a3a6661916d94c64f2c24a333256412";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";NA
"69ed7e93edcf12d6ae983e7ae8ec2352";"78";"164";"71";"0";"13";"6";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;NA
"96a9fbffc7d2531b4ec4b63465c93236";"47";"38";"65";"25";"83";"23";"58";"5";"106";"62";"273";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Saccharospirillaceae";"Saccharospirillum";NA
"8af546e0c8353881b20ef614f816d93d";"0";"0";"0";"0";"0";"0";"7";"20";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Alcanivoracaceae1";"Alcanivorax";NA
"1ef4e85a4d98ccc8a1d5aff953f02f83";"0";"0";"0";"0";"0";"0";"0";"0";"10";"17";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Saccharospirillaceae";"Salinispirillum";NA
"f72c6e480d1b4b386fa8cba40801359d";"0";"0";"164";"58";"282";"63";"301";"219";"888";"952";"998";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Alteromonadales";"Idiomarinaceae";"Idiomarina";NA
"656ce1f3bc62dda6afd95c8df9cbedb3";"4";"28";"0";"9";"96";"7";"0";"9";"51";"225";"30";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Salinivibrio";NA
"ae4b38f8eaa083d2007116a8f0e51d68";"4";"15";"56";"8";"6";"87";"58";"11";"29";"84";"532";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Alteromonadales";"Alteromonadaceae";"Lacimicrobium";NA
"4584c57309e8bed255f35230d4845e63";"0";"0";"0";"0";"0";"0";"16";"0";"10";"6";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Rhodocyclaceae";"Azoarcus";NA
"253852ecf2cf8659e23050a48d2ed39e";"0";"5";"12";"3";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Pusillimonas";NA
"13563a1f9ae2c5f1ad24575664cc0f01";"3";"4";"6";"0";"19";"0";"29";"5";"15";"17";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Pseudohongiellaceae";"Pseudohongiella";NA
"b8cde207e3ff5a515d6521cd46039cf5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Aeromonadales";"Succinivibrionaceae";"Succinivibrionaceae_UCG-001";NA
"51d85817712e752e182379a00535d537";"57";"221";"0";"0";"0";"0";"1";"0";"0";"0";"0";"d__Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Halieaceae";"Pseudohaliea";NA
